Participant_ID,condition,n_fixations,MFD_ms,total_dwell_ms,dispersion_r,scanpath_len_px
P01,familiar,210.0,457.54876930596737,93523.65399999871,519.3053585378506,4964.315951429526
P01,unfamiliar,99.0,727.839089824904,71505.52300000163,541.182545048063,4796.2916317883955
P02,familiar,163.0,1334.2968787655248,153037.00799999933,369.5621893993022,3487.2214646777497
P02,unfamiliar,74.0,731.9042386965777,29484.279999996943,290.4439608122108,2959.1091093505984
P03,familiar,185.0,352.68452101161444,63047.57999998401,476.22481884389913,4341.358521634011
P03,unfamiliar,118.0,535.109355429317,61351.07000000244,489.4485394085214,3976.648425247435
P04,familiar,111.0,341.1305760607027,37489.898000010726,461.49018846793706,4624.603726987557
P04,unfamiliar,206.0,375.5304323594178,74768.15799999713,464.38499394493857,4709.0953493636025
P05,familiar,121.0,602.7666829776542,64493.91199999809,408.8426116872262,3218.429247215922
P05,unfamiliar,180.0,538.2585787036828,96003.13899999674,440.41346200655374,3578.2362649074184
P06,familiar,130.0,354.2990460942743,44466.20700001222,423.86188187490364,3292.028337441916
P06,unfamiliar,150.0,621.6568443701588,90563.66400001752,408.3867997890015,3294.7129746077735
